Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,208428,pial,rh,Hausdorff Distance,,4.260786322893939,
csrf,246133,pial,rh,Hausdorff Distance,,4.974370674673629,
csrf,211720,pial,lh,Self-Intersections (SIF),,-1,271309
csrf,206222,pial,lh,Hausdorff Distance,,5.449391557035748,
csrf,270332,pial,lh,Hausdorff Distance,,5.158446051196045,
csrf,207628,pial,lh,Self-Intersections (SIF),,-1,262111
csrf,203923,pial,lh,Self-Intersections (SIF),,-1,248412
csrf,246133,pial,rh,Self-Intersections (SIF),,-1,209860
csrf,227432,pial,lh,Self-Intersections (SIF),,-1,232181
csrf,257542,pial,lh,Self-Intersections (SIF),,-1,239144
csrf,223929,pial,lh,Self-Intersections (SIF),,-1,328341
csrf,205725,pial,rh,Hausdorff Distance,,4.695498583287378,
csrf,212318,pial,rh,Hausdorff Distance,,6.814628598378618,
csrf,200917,pial,lh,Self-Intersections (SIF),,-1,233713
csrf,224022,pial,rh,Self-Intersections (SIF),,-1,196739
csrf,204420,pial,rh,Self-Intersections (SIF),,-1,197515
csrf,208024,pial,rh,Self-Intersections (SIF),,-1,199177
csrf,237334,pial,rh,Hausdorff Distance,,6.167433683062527,
csrf,212318,pial,rh,Self-Intersections (SIF),,-1,211186
csrf,221319,pial,rh,Self-Intersections (SIF),,-1,210700
csrf,205220,pial,rh,Chamfer Distance,,0.8710290883511895,
csrf,214019,pial,rh,Chamfer Distance,,0.9146229260081971,
csrf,249947,pial,rh,Chamfer Distance,,0.8843166909876298,
csrf,209834,pial,rh,Hausdorff Distance,,6.54377177440394,
csrf,214221,pial,rh,Chamfer Distance,,0.9239980696397664,
csrf,285345,pial,rh,Chamfer Distance,,0.8862981061799791,
csrf,255639,pial,rh,Hausdorff Distance,,5.8044459186227035,
csrf,209228,pial,rh,Chamfer Distance,,0.8728627001927056,
csrf,250427,pial,rh,Chamfer Distance,,0.8673261919084967,
csrf,200008,pial,lh,Self-Intersections (SIF),,-1,216644
csrf,201818,pial,rh,Self-Intersections (SIF),,-1,202371
csrf,209834,pial,rh,Self-Intersections (SIF),,-1,202865
csrf,283543,pial,lh,Self-Intersections (SIF),,-1,246401
csrf,204521,pial,rh,Self-Intersections (SIF),,-1,199446
csrf,275645,pial,rh,Chamfer Distance,,0.9034810043284376,
csrf,203418,pial,rh,Chamfer Distance,,0.8789875997474521,
csrf,217126,pial,rh,Chamfer Distance,,0.8798514739678074,
csrf,208226,pial,rh,Chamfer Distance,,0.8724040327384663,
csrf,210415,pial,rh,Self-Intersections (SIF),,-1,197760
csrf,202719,pial,lh,Self-Intersections (SIF),,-1,242302
csrf,209329,pial,rh,Hausdorff Distance,,8.384544570831835,
csrf,280739,pial,rh,Self-Intersections (SIF),,-1,207852
csrf,217126,pial,rh,Hausdorff Distance,,4.615734107982529,
csrf,208125,pial,lh,Self-Intersections (SIF),,-1,236187
csrf,228434,pial,rh,Hausdorff Distance,,6.638076959143018,
csrf,268850,pial,rh,Chamfer Distance,,0.8983464480894318,
csrf,239944,pial,rh,Chamfer Distance,,0.9005155884159766,
csrf,211114,pial,lh,Self-Intersections (SIF),,-1,238565
csrf,217126,pial,rh,Self-Intersections (SIF),,-1,227390
csrf,210617,pial,rh,Chamfer Distance,,0.9437706095392523,
csrf,257845,pial,lh,Self-Intersections (SIF),,-1,245536
csrf,250932,pial,rh,Self-Intersections (SIF),,-1,214113
csrf,214625,pial,rh,Chamfer Distance,,0.8628331533123061,
csrf,209935,pial,lh,Self-Intersections (SIF),,-1,250089
csrf,212217,pial,rh,Self-Intersections (SIF),,-1,214405
csrf,280941,pial,rh,Chamfer Distance,,0.8702255510914363,
csrf,204622,pial,rh,Self-Intersections (SIF),,-1,243842
csrf,213421,pial,lh,Self-Intersections (SIF),,-1,250610
csrf,205119,pial,lh,Self-Intersections (SIF),,-1,252217
csrf,214625,pial,rh,Hausdorff Distance,,5.704452030399481,
csrf,212015,pial,lh,Self-Intersections (SIF),,-1,250968
csrf,201717,pial,lh,Self-Intersections (SIF),,-1,258993
csrf,245333,pial,rh,Hausdorff Distance,,5.511031197746608,
csrf,251833,pial,lh,Self-Intersections (SIF),,-1,264546
csrf,205826,pial,lh,Self-Intersections (SIF),,-1,245801
csrf,208327,pial,lh,Self-Intersections (SIF),,-1,287689
csrf,207123,pial,lh,Self-Intersections (SIF),,-1,276476
csrf,200210,pial,lh,Self-Intersections (SIF),,-1,284912
csrf,200311,pial,rh,Chamfer Distance,,0.9274838388770068,
csrf,268749,pial,lh,Self-Intersections (SIF),,-1,278388
csrf,208428,pial,rh,Self-Intersections (SIF),,-1,182160
csrf,206222,pial,lh,Self-Intersections (SIF),,-1,250512
csrf,270332,pial,lh,Self-Intersections (SIF),,-1,296659
csrf,205725,pial,rh,Self-Intersections (SIF),,-1,187177
csrf,237334,pial,rh,Self-Intersections (SIF),,-1,216470
csrf,203721,pial,rh,Chamfer Distance,,0.9565715802437267,
csrf,201414,pial,rh,Chamfer Distance,,0.9312592917996106,
csrf,231928,pial,rh,Chamfer Distance,,0.8742300063017339,
csrf,256540,pial,rh,Chamfer Distance,,0.8725716087545348,
csrf,233326,pial,rh,Chamfer Distance,,0.8819266869784113,
csrf,236130,pial,rh,Chamfer Distance,,0.867357409337826,
csrf,209127,pial,rh,Chamfer Distance,,0.8692622148525081,
csrf,211316,white,lh,Chamfer Distance,,0.7627473401192393,
csrf,201414,pial,rh,Hausdorff Distance,,5.374951517956007,
csrf,212419,pial,rh,Chamfer Distance,,0.8589899836729054,
csrf,220721,pial,rh,Chamfer Distance,,0.8691344963434404,
csrf,221218,pial,rh,Chamfer Distance,,0.9010895574132509,
csrf,205220,pial,rh,Hausdorff Distance,,6.308938530358882,
csrf,214019,pial,rh,Hausdorff Distance,,4.972761768714177,
csrf,233326,pial,rh,Hausdorff Distance,,7.246060420439435,
csrf,211316,white,lh,Hausdorff Distance,,5.003526456447868,
csrf,249947,pial,rh,Hausdorff Distance,,6.851358156346925,
